Distance = Start -> End (as the crow flies)
1.175269 = I-71 11th offramp -> High & 5th
1.674981 = I-71 11th offramp -> High & Goodale
1.137143 = I-71 11th offramp -> High & King
1.437139 = I-71 11th offramp -> High & Woodruff
0.000000 = I-71 11th offramp -> I-71 11th offramp
0.470325 = I-71 11th offramp -> I-71 17th offramp
0.527361 = I-71 11th offramp -> I-71 5th offramp
1.880740 = I-71 11th offramp -> Lane & Tuttle
1.738212 = I-71 11th offramp -> Park & Goodale
1.865023 = I-71 11th offramp -> Park & Vine
2.124638 = I-71 11th offramp -> SR-315 & King
2.567672 = I-71 11th offramp -> SR-315 & Lane
2.220161 = I-71 11th offramp -> SR-315 I-670 offramp
0.936444 = I-71 11th offramp -> US-23 & 15th
0.876795 = I-71 11th offramp -> US-23 & 17th
1.528013 = I-71 11th offramp -> US-23 & Goodale
1.845605 = I-71 11th offramp -> Woodruff & Tuttle
2.201594 = I-71 17th offramp -> Goodale parking lot
1.258823 = I-71 17th offramp -> High & 11th
1.252423 = I-71 17th offramp -> High & 15th
1.460137 = I-71 17th offramp -> High & 5th
2.098563 = I-71 17th offramp -> High & Goodale
1.358746 = I-71 17th offramp -> High & King
1.315252 = I-71 17th offramp -> High & Woodruff
0.470325 = I-71 17th offramp -> I-71 11th offramp
0.000000 = I-71 17th offramp -> I-71 17th offramp
0.996917 = I-71 17th offramp -> I-71 5th offramp
1.758308 = I-71 17th offramp -> Lane & Tuttle
2.154330 = I-71 17th offramp -> Park & Goodale
2.288671 = I-71 17th offramp -> Park & Vine
2.259594 = I-71 17th offramp -> SR-315 & King
2.489401 = I-71 17th offramp -> SR-315 & Lane
2.523685 = I-71 17th offramp -> SR-315 I-670 offramp
0.889465 = I-71 17th offramp -> US-23 & 15th
0.754049 = I-71 17th offramp -> US-23 & 17th
1.971902 = I-71 17th offramp -> US-23 & Goodale
1.764402 = I-71 17th offramp -> Woodruff & Tuttle
1.421742 = I-71 5th offramp -> Goodale parking lot
1.313106 = I-71 5th offramp -> High & 11th
1.537279 = I-71 5th offramp -> High & 15th
1.073738 = I-71 5th offramp -> High & 5th
1.269502 = I-71 5th offramp -> High & Goodale
1.135682 = I-71 5th offramp -> High & King
1.753352 = I-71 5th offramp -> High & Woodruff
0.527361 = I-71 5th offramp -> I-71 11th offramp
0.996917 = I-71 5th offramp -> I-71 17th offramp
0.000000 = I-71 5th offramp -> I-71 5th offramp
2.169079 = I-71 5th offramp -> Lane & Tuttle
1.345652 = I-71 5th offramp -> Park & Goodale
1.452901 = I-71 5th offramp -> Park & Vine
2.133319 = I-71 5th offramp -> SR-315 & King
2.786832 = I-71 5th offramp -> SR-315 & Lane
1.998590 = I-71 5th offramp -> SR-315 I-670 offramp
1.253357 = I-71 5th offramp -> US-23 & 15th
1.257119 = I-71 5th offramp -> US-23 & 17th
1.082168 = I-71 5th offramp -> US-23 & Goodale
2.098892 = I-71 5th offramp -> Woodruff & Tuttle
2.318052 = Lane & Tuttle -> Goodale parking lot
0.919484 = Lane & Tuttle -> High & 11th
0.633317 = Lane & Tuttle -> High & 15th
1.456719 = Lane & Tuttle -> High & 5th
2.362945 = Lane & Tuttle -> High & Goodale
1.250621 = Lane & Tuttle -> High & King
0.447978 = Lane & Tuttle -> High & Woodruff
1.880740 = Lane & Tuttle -> I-71 11th offramp
